Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,demand_multiplier,supply_multiplier,adjusted_ride_cost,profit_percentage
90,45,Urban,Silver,13,4.47,Night,1,90,284.257273,1.1111111111111112,0.8444444444444444,266.7105277530864,-6.172839506172842
58,39,Suburban,Silver,72,4.06,Evening,0,43,173.8747527,1.45,0.9743589743589743,245.6538172761538,41.28205128205127
42,31,Rural,Silver,0,3.99,Afternoon,1,76,329.795469,1.05,1.2258064516129032,424.47868429354844,28.709677419354847
89,28,Rural,Regular,67,4.31,Afternoon,1,134,470.2012318,1.0987654320987654,1.3571428571428572,701.1554523578484,49.11816578483246
78,22,Rural,Regular,74,3.77,Afternoon,0,149,579.6814224,1.95,1.7272727272727273,1952.4724272654544,236.8181818181818
59,35,Urban,Silver,83,3.51,Night,0,128,339.9553606,1.475,1.0857142857142856,544.4142274751429,60.14285714285714
93,43,Suburban,Regular,44,4.41,Afternoon,1,16,104.0615413,1.1481481481481481,0.8837209302325582,105.5852675722653,1.4642549526270496
62,39,Rural,Gold,83,3.59,Afternoon,1,47,235.8118636,1.55,0.9743589743589743,356.13637861641024,51.02564102564101
79,14,Rural,Silver,71,3.74,Evening,0,128,501.4125175,1.975,2.7142857142857144,2687.929245598214,436.07142857142856
42,6,Rural,Silver,21,3.85,Night,1,128,398.9933646,1.05,1.8333333333333333,768.0622268550001,92.50000000000001
86,17,Urban,Regular,99,4.69,Morning,0,167,669.2986265,1.0617283950617284,2.235294117647059,1588.429855774873,137.32752360203344
60,38,Rural,Gold,15,4.14,Evening,1,144,414.9901047,1.5,1.0,622.48515705,49.99999999999999
24,8,Rural,Gold,50,4.12,Morning,0,164,490.4107217,0.6,1.375,539.4517938700001,10.000000000000012
36,24,Suburban,Silver,88,4.22,Night,1,83,296.242876,0.9,1.5833333333333333,422.14609830000006,42.50000000000001
63,13,Rural,Regular,74,4.95,Afternoon,1,102,327.0888649,1.575,2.923076923076923,1505.866812635769,360.38461538461536
39,12,Urban,Silver,30,4.51,Afternoon,1,140,445.1368684,0.975,3.1666666666666665,1374.3600811850001,208.75
38,28,Rural,Silver,35,3.93,Afternoon,1,54,244.5361718,0.95,1.3571428571428572,315.2769929278572,28.92857142857144
46,14,Suburban,Silver,21,4.71,Afternoon,0,15,47.31430863,1.15,2.7142857142857144,147.68823479507142,212.14285714285714
33,7,Suburban,Gold,49,4.31,Evening,1,22,129.8082629,0.825,1.5714285714285714,168.28714083107138,29.64285714285712
31,7,Suburban,Silver,24,4.82,Evening,1,87,382.9481103,0.775,1.5714285714285714,481.42048152,25.71428571428572
96,45,Urban,Regular,6,4.95,Afternoon,1,11,82.77279318,1.1851851851851851,0.8444444444444444,82.84091893570368,0.08230452674895472
22,11,Suburban,Silver,79,4.48,Night,0,15,64.07117256,0.55,1.0,51.256938047999995,-20.0
74,16,Rural,Regular,6,3.97,Morning,0,139,390.6687658,1.85,2.375,1716.50088973375,339.375
24,12,Urban,Regular,10,3.6,Evening,1,45,212.166525,0.6,3.1666666666666665,537.48853,153.33333333333331
